Unnamed: 0,Şehir,Parti,Meslek,Doğum Yeri,Doğum Yılı
Şirin ÜNAL,İstanbul,AK Parti,pilot,Sinop,1954
Turan AYDOĞAN,İstanbul,CHP,avukat,Gümüşhane,1964
Tülay KAYNARCA,İstanbul,AK Parti,gazeteci,İzmit,1969
Ümit BEYAZ,İstanbul,İYİ Parti,yönetici,Gümüşhane,1971
Ümit ÖZDAĞ,İstanbul,ZAFER P,akademisyen,yurt dışı,1961
Vedat DEMİRÖZ,İstanbul,AK Parti,müşavir,Bitlis,1956
Volkan BOZKIR,İstanbul,AK Parti,büyükelçi,-,-
Yavuz AĞIRALİOĞLU,İstanbul,İYİ Parti,akademisyen,Trabzon,1972
Yunus EMRE,İstanbul,CHP,akademisyen,İzmit,1982
Yüksel Mansur KILINÇ,İstanbul,CHP,yönetici,İstanbul,1961
Zafer SIRAKAYA,İstanbul,AK Parti,yönetici,yurt dışı,1974
Zeynel EMRE,İstanbul,CHP,avukat,Manisa,1981
Zeynel ÖZEN,İstanbul,HDP,öğretmen,Kahramanmaraş,1957
Züleyha GÜLÜM,İstanbul,HDP,avukat,İstanbul,-
İZMİR,,,,,
Ahmet Tuncay ÖZKAN,İzmir,CHP,gazeteci,Ankara,1966
Atila SERTEL,İzmir,CHP,gazeteci,Eskişehir,1956
Aytun ÇIRAY,İzmir,İYİ Parti,doktor,İzmir,1957
Bedri SERTER,İzmir,CHP,iş adamı,İzmir,1960
Binali YILDIRIM,İzmir,AK Parti,yönetici,Erzincan,1955
Cemal BEKLE,İzmir,AK Parti,yönetici,İzmir,1978
Ceyda BÖLÜNMEZ ÇANKIRI,İzmir,AK Parti,yönetici,Ankara,1978
Dursun Müsavat DERVİŞOĞLU,İzmir,İYİ Parti,işletmeci,Ankara,1960
Ednan ARSLAN,İzmir,CHP,mühendis,Erzincan,1979
Fehmi Alpay ÖZALAN,İzmir,AK Parti,milli futbolcu,İzmir,1973
Hamza DAĞ,İzmir,AK Parti,hukukçu,Manisa,1980
Hasan KALYONCU,İzmir,MHP,öğretmen,Trabzon,1969
